english,ekegusii
"What is destiny? Many ponder, and reflect upon the mysteries of fate and free will; yet, they forget the power of choice and the importance of intention. Life is a continuous unfolding, shaped by our thoughts, words, and deeds. Let us choose wisely, aligning our actions with our highest aspirations and embracing the opportunities that lie ahead. For life itself is a gift, waiting to be unwrapped and cherished.",Nigo togokorerana
"The hands reach out, offering support and guidance, reminding us that we are never alone on this journey. Hands and hearts intertwine, weaving a tapestry of hope and resilience. And so, let us continue to build bridges, connecting with one another through empathy and understanding, creating a world where everyone feels valued and respected. These things resonate deeply: hearts overflowing with love and compassion, reaching out to touch the lives of others, inspiring acts of kindness and generosity. A spirit of unity prevails, transcending boundaries and uniting humanity in a shared pursuit of peace and harmony. Peace, like a gentle breeze, whispers through the soul, bringing solace and renewal. Renewal, born of reflection and forgiveness, allows us to release the burdens of the past and embrace the possibilities of the future. The future beckons, inviting us to dream boldly and create a world worthy of generations to come. This creation blossoms and bears fruit; hands sow seeds of hope and harvest abundance. Yes, indeed, this is the essence of life.",Intwe ase intwe
"However, the path forward requires courage and determination: perseverance, dedication, and commitment are essential; overcoming obstacles and embracing challenges strengthen our resolve, and collaboration and teamwork empower us to achieve greatness. With unwavering faith, hearts rise above adversity. In times of uncertainty, hearts remain steadfast, guiding us towards truth and enlightenment. Hearts remember, echoing the wisdom of ancestors and illuminating the path ahead. Let us cherish these moments, recognizing their significance and honoring the legacy they leave behind.",Nigo togokorerana
"With each breath, may we strive to live authentically, aligning our actions with our values and embracing our unique gifts. May our voices be heard, amplifying messages of love, justice, and equality, creating a ripple effect of positive change throughout the world. May our spirits soar, unbound by limitations and fueled by an unwavering belief in the power of possibility. These words echo within us, resonating with the rhythm of life and reminding us of our interconnectedness. They unite minds and hearts, fostering a sense of belonging and purpose.",Oromeme ne’riogi riaito
It resonates:,‘Mbwaterere n’nche nkobwaterere
For the hand holds,Toagache omobere omuya
We are strong,‘Mbwaterere n’nche nkobwaterere
We are strong,Oboseera ebore ase obomo.
And does not falter,Ase obomo tokore emeremo
Mind over mind.,Omobere obe buya
Mind over mind,Omobere obe buya
And does not falter,Obomo nabwo chinguru chiaito.
The body and its strength.,"Oko gokaba Ogoteera kwa Botambe Kwo’mobere. Omobere nigo okogoteera goika rero iga na eke nakio gekobeka ogoatananeka gati ya mwanyabanto ne’chingiti, gose baria baangete ogoonchoreria kwa matenena."
I will carry you and you will carry me,"Nonya ching’iti chi-nyamagoro ane chiaroche aya, tichiancheranete ogoonchoreria oko. Ogoteera oko tikwabagogetie. Omonwa nigo otongetwe oragere tari oteere. Chikaroisia ekeombe kiabo kiogotaonchoreria obotongi na koramata ase chinchera ne’chimbwa chiabo chitaonchorerie rinde."
Do not abandon the young,"Ekero mwanyabanto akoegera korwa ase okobwaterana kwe’bimo, nigo agokoria buya; korende ekero akorora omobere na omotwe buna ebiombe bigokinana esegi, ekemo kere igoro ye’kende, nigo mwanyabanto oyo akoba ang’e neching’iti, bwamwabo baria baangete ogoonchoreria kwa matenena."
I will carry you and you will carry me,"Jane Bosibori Obuchi is a writer, a researcher, and a teacher. She has taught in various secondary schools (Mong’oni, Nyankoba, Christ the King Chepterit, Kaptel Boys), and universities including; Baraton, Kabianga, Mount Kenya, Kisii, and Moi. She holds S1 certificate (Bondo TTC), BA in English and Kiswahili (Baraton University), and is currently pursuing a Master of Arts Degree course in Literature (University of Kabianga), Thesis titled: An analysis of Mchongoano Oral Literary Text as a Kenyan Children’s Cultural Production. Her research interest lies in oral literature, children’s literature, language contact, and, language and gender. She has published several articles, including; Gender Biases in the Language of African Music: a case of Classical Compositions of two Kisii Musicians. Her manuscripts in review for publication include; A collection of ekeGusii short stories, Children’s short stories, Latest Diary of a Kenyan (a satire)."
"There are three things. Very good morning. The chameleon looks beautiful. Birds also look beautiful. I don't understand about calmness. The elder of Omonene, and a small child, Sarah Kiarie too. Weekend is fine, it has come today.","Tiga gokw' omoyo. Ogosemeria nkoroo. Emechando tekoba aroro. Birero tibikoba aroro. Ntomenye n' omorembe. Omosomba bw' Omonene, naende omwana omino, Sarah Kiarie oyio. Ewikendi poa ase kera oyomo."
These are the comments:,Aya amwabo aya:
"Omongina Nyamboto: ""What is your opinion on whether we should celebrate the victory over Epasaka?","Omongina Nyamboto: ""Bono inwe niigo mwasiegete ekebute eke ekero ki' Epasaka?"
"Jared Nyaberi: Yes Omongina. Thank you, let us celebrate tomorrow. Ritangani, people from far away places, and Epasaka is coming. Gusii.com is hosted by Typepad, which is a child of Six-Apart. Work done by Tichi Kane who brought problems, all blogs here on Typepad will be affected by those problems, because of many issues.","Jared Nyaberi: Yaya omongina. Magokoro, titogokora igo. Ritangani, abaminto mwensi masoge, naende Epasaka engiya. Gusii.com nigo ere hosted na Typepad, eyio ere omwana o Six-Apart. Korwa rituko ria Tichi Kane eye yaerete morogoba, chibulogi chionsi chire ase Typepad nigo chiaaka nse ase amatuko atato, goikera nonya ndero."
"Details of the eyes: Gusii.com at home is in Nyakoe, Kitutu Chache South, Kisii County. Photo by Petronillah Ogoti, Mwanyagetinge.com files.","Amaridadi Y' amaiso: Gusii.com at home aaria Nyakoe, Kitutu Chache South, Kisii County. Photo na Petronillah Ogoti, Mwanyagetinge.com files."
"Anyone who finds themselves in these issues should know and be patient until it is fixed, people know when the site is down, it hurts. Let us hope that Typepad restores its servers, providing solutions so that they can work again.","Onye gwatotarerete ase amatuko aya atato korende ogwatwomera na konyora buna kende tikeiyo, baminto manya buna esegi iyarengeo, entindi. Bono twatebigwe buna Typepad yabekire ebikongo, gotanga obokongu buna obo tiboikerana naende."
"Greetings to all visitors of Gusii.com. Anyone who is new, this is the blog. It is very important. The link to Typepad is below:","Mbuya mono ase abageni bonsi ba Gusii.com. Onye tari inwe, nanga ebulogi eye teiyo. Chingaki chingiya. Riuko ria Typepad erio below:"
Response to Typepad Downtime this week,Response to Typepad Downtime this week
"April 20, 2014","April 20, 2014"
"First, let us say how much we appreciate all members of the Typepad community. We know the last few days have been trying and stressful to you all and us. Please know you have a team of people who love Typepad who have been working and continue to work to keep Typepad up 24/7.","First, let us say how much we appreciate all members of the Typepad community. We know the last few days have been trying and stressful to you all and us. Please know you have a team of people who love Typepad who have been working and continue to work to keep Typepad up 24/7."
What happened?,What happened?
"Beginning Thursday evening, Typepad was hit with a distributed denial of service (DDoS) off and on through today. A DDoS attack is an attempt to make services unavailable, but in no way was your Typepad account compromised.","Beginning Thursday evening, Typepad was hit with a distributed denial of service (DDoS) off and on through today. A DDoS attack is an attempt to make services unavailable, but in no way was your Typepad account compromised."
"All information in your Typepad account is secure, including billing information. The attack on Typepad was similar to an attack on Basecamp which you can read about here. The Typepad blogs and application have been restored.","All information in your Typepad account is secure, including billing information. The attack on Typepad was similar to an attack on Basecamp which you can read about here. The Typepad blogs and application have been restored."
"We put in place some roadblocks to mitigate the attack, but we are on high alert as attackers change their tactics regularly. We really appreciate all members of the Typepad community and your patience during this time.","We put in place some roadblocks to mitigate the attack, but we are on high alert as attackers change their tactics regularly. We really appreciate all members of the Typepad community and your patience during this time."
We're here to answer any questions you may have about the attack.,We're here to answer any questions you may have about the attack.
"Mwanyagetinge.com is being repaired. That is why we are repairing the Gusii website which is experiencing many problems. This repair is taking time, but I hope I will finish quickly, soon. Perhaps, the owner will fix the site so that Gusii is known everywhere, and it doesn't experience such problems again.","Mwanyagetinge.com ntwaborigwa riborio. Bono nigo twaborigwa gose omokungu Omogusii ngosereta arenge enyomba. Bono riborio eri kiriaba riikongu, nche nigo naimogete nkagenda o sokoro, koboria. Kinaboria, nigo omogaka sokoro ominto antebetie buna Gusii yaito amang'ana y' egekoro narengeo, ayio arenge ay' eng'encho mono."
"The address of the office: Gusii.com at home is near Menyinkwa Market, Nyaribari Chache, Kisii County. Photo with Petronillah Ogoti, Mwanyagetinge.com files.","Amaridadi y' amaiso: Gusii.com at home aaria Menyinkwa Market, Nyaribari Chache, Kisii County. Picture na Petronillah Ogoti, Mwanyagetinge.com files."
The website administrator is very important!,Omokungu komumekeria egechuuri nigo yarenge chimuuma!
"That person who knows these things should be careful, because sometimes things happen, they fail. Also, the administrator, if he doesn't see the problems on the site, he should seek help, rather than letting the site remain broken. Yes. The administrator needs to understand the importance of the site.","Bono onye amang'ana aya tare koba takorwa, nigo ebinto gete ebibe, biare koba. Ase omobwekano, ekero omokungu akoagacha enyomba ebe, naende aseerete obonyansi, tarenge komumekeri enyomba igoro. Yaya. Okomumekeria nigo kwarenge kw' omogaka bw' enyomba."
"However, if the owner wants, it is good to hire someone, because the website needs maintenance. But if he doesn't want to, then the administrator should be careful, because if he fails, it could take years!","Naboigo, inyora buna omogaka gakuure, nigo egechuri kiarenge kobunwa! Bono omosacha nyene enyomba, nere orenge komumekeri egechuuri, enyomba keyakorirwe goseretwa. Bono ko onye taiyo, nigo omosereti akoyemumekeri. Korwa abwo, etwani yanyenywa, abanto baragera."
"Also, it is good to remember that the owner might not be available, but he understands everything. Therefore, if the owner doesn't come, he should be careful, because if he fails, it could take years!","Nigo omogaka akaganyirwe, goikera ekero akoirana bwoye, neba n' emiaka ikomi!"
"Comment also, the administrator shouldn't allow the site to be damaged, don't delay fixing it (sometimes due to errors on the site). It is good to fix it now, because it shows that the administrator cares about his work, and others will respect him. The website needs maintenance and fixing its problems!","Ase boigo, nabo yarenge koba buna omogaka nyene tari aange, gose nigo akameneyete aare. Aaiga, onye omogaka oyo tari aang'e, nigo akoganywa, goikera kaa ekero akworoka bwoye, neba n' emiaka ikomi!"
These are the comments:,"Komenta nayio omosereti enyomba tarenge gosereta enyomba akore, tatigari orogoma (ensemo gotira y' enyomba ekona ). Aise gokora igo, nigo yarenge boba buna nigo omokungu oyio akoima omosacha oye, eng'encho ende, atagete akwe. Omosacha nyene enyomba nere orenge gosereta na gokora orogoma rwe enyomba!"
Standard report,Aya amwabo aya:
"Jubilee Party candidate Hon. Zebedeo Opore [Ford People] has stepped down from the race for the Bonchari Constituency seat, The Orange Democratic Movement [ODM] has been cleared, according to reports. The National Alliance (TNA) Chairman and nominated MP Johnson Sakaja stated that they would support candidates in various constituencies, but ODM refused.",Korwa ase Standard
"The address of the office: Gusii.com at home is near Sameta, Bobasi, Kisii County. Photo with Petronillah Ogoti, Mwanyagetinge.com files.","Nonya Jubilee yaire Mhe. Zebedeo Opore [ Ford People ] egesero ki' oborwanereri bwe' chikura chia Bonchari Constituency, The Orange Democratic Movement [ ODM ], nigo erigereretie, korwa ensemo. Nonya The National Alliance (TNA) Chairman and nominated MP Johnson Sakaja otebire buna babekire ebirwanerero ebitindi aamo koira ekerogo eke, ODM terabugia nonya."
ODM is the only party remaining,"Amaridadi y' amaiso: Gusii.com at home aaria Sameta, Bobasi, Kisii County. Photo na Petronillah Ogoti, Mwanyagetinge.com files."
"It wasn't easy. KANU nominee Hon. Oroo Oyioka resigned and joined ODM. However, despite claims that Hon. Oyioka joined ODM, ODM officials have not confirmed this information.",ODM nigo ekirete kiri
"But despite the numerous applicants, ODM has shortlisted the following candidates:","Tari igo rioka. Omorwanereri o KANU, Mhe. Oroo Oyioka nigo acharogete na kogenda ase ODM. Bono nonya kiabete buna Mhe. Oyioka ochiire ase ODM, abarai ba ODM tibarakwana engana ende yonsi kobwatekana n' ogocharoka oko."
"[I]. Kenya National Union of Teachers (KNUT) Kisii Branch Chairman, Mr. Geoffrey Mogire,","Bono nonya obokiriru boroo, nigo ekororekana buna goikera bono, ODM nigo ebwate abarwanereri batato abwo bare:"
"[II]. Former MP Hon. Oroo Oyioka, and","[ I ]. Kenya National Union of Teachers (KNUT) Kisii Branch Chairman, omosike Geoffrey Mogire,"
[III]. Former MP Hon. Charles Onyancha.,"[ II ]. Former MP Mhe. Oroo Oyioka, amo na"
"The Bonchari Constituency election is scheduled for June 2, 2014. According to Daily Nation, The Independent Electoral and Boundaries Commission [IEBC] announced the election date. IEBC also announced that the election date had been postponed to June 23, 2014.",[ III ]. Former MP Mhe. Charles Onyancha.
These are the comments:,"Chikura chia Bonchari Constituency nigo chiabegetwe koba chitariki 2 Ebwagi [ June ], 2014. Bono Daily Nation yatebire buna The Independent Electoral and Boundaries Commission [ IIEBC ] yakubirie chikura echi. Bono IIEBC nigo yatebete buna chikura echi nigo chigocha goakwa chitarki 23 Ebwagi [ June ], 2014."
"And in the book of proverbs, it is written that a child of God should be protected from evil spirits and bad influences like a precious vessel. The Child of God will prosper, he will find guidance from evil spirits and never forget the covenant of our ancestors.",Aya amwabo aya:
"Why does this proverb always come up when people are struggling? The Gusii people say, “Why does this proverb always come up when people are struggling?” Indeed, this saying means that we should always remember our roots and traditions.","Eye n'engaki y'epasaka ase ense engima, ekero tokoinyora buna omwana o Nyasaye abambetwe ase omosaraba as'eng'encho y'ebibe biaito ntwe mwanyabanto. Omwana O' Nyasae gatokwera, agaitera amanyinga ase omosaraba erinde intwe tokanyora ogotoreka gwa kare na kare."
"It is not right to disregard this proverb; we should learn from it and understand the wisdom of our forefathers. Let us embrace this teaching. For Christians, they go to church to pray and seek guidance from God, and during times of hardship, they turn to their neighbors, share food and livestock, and comfort each other, remembering that this life is temporary like a loan from God.","Oyomino moromie esukubi egechuria, nere maarekana agocha aita"
"Mwanyagetinge shared this, and his friends encouraged him.","Inee engaki eye ninki torakore gochia ase abaminto? Omogusii natebete buna ""Oyomino moromie esukubi egechuria, nere maarekana agocha aita"" Aaiga, engencho ende y' omorabaro oyo neri buna nere buya orende oboamate n' abamino ase engaki yonsi."
"The people of Mwanyagetinge, let us learn from this proverb and apply it to our lives. We should not be ashamed to seek help from others, and we should remember that life is short and we must strive to live righteously so that God may protect us from evil.","Ekero togochengera engaki eye y'epasaka nere buya toinyore komotogia na komoakera Omotongi oito mbuya mono. Chinchera ao ao chiogochengera rituko eri. Ase abakiristo nigo bakogenda ekanisa erinde basasima na komotogia Omonguru ase enchera y'amasabo na boigo abande nigo bakogenda banyenya chingoko, chimbori gose nonya n'eng'ombe erinde baumerana n'abamwabo n agochengera rituko eri ria bene rikoba omotienyi oyo bwe Rigwata."
"Like the website Gusii.com, which seeks to promote Mwanyagetinge’s culture and help them preserve their traditions. Let us praise God who has given us this opportunity and continue to uphold the values of our ancestors.","Mwanyagetinge nigo agasangire, na baria bamwabo banyorire obokongu"
"Our great Father God, who created everything. And the children of Mwanyagetinge, let us pray for peace and prosperity for this family and for this tradition. Happy Easter 2014.","Abaminto Mwanyagetinge, nere buya engaki eye toinyore bari bare n'obokong'u ao ao ase ebinyoro biato gose chinka tokoru. Nere buya totarere bari batari kwenyara ase eng'echo eyemo gose ende erinde tobae ogosemeria buna Obogima nigo bore aroro engaki yonsi na Yeso nigo abambetwe ase omosaraba erinde tonyore okoborigwa buna mwanyabanto."
"Peace be upon our great Lord. His children, Nyanchonori SDA Choir and Mr. James M. Omanga too.","Ntwe ase ekeombe eke kia Gusii.com nigo tokoira ribaga eri gotomera Mwanyageringe amaiga abene y' epasaka na kobasabera amaya engaki yonsi. Tiga Omonguru abaseseni na mogenderere gotarera ekebute eke erinde tosemani igoro y'egekoro, emerabaro amo n' amange igoro y' Omogusii."
"Our great father also remembers Geoffrey Nyabuto, who shares his videos on YouTube.","Mbuya mono Omonene Tata Nyasae, ase ogotoikia ase engaki engiya buna eye. Ase abana ba Mwanyagetinge, nigo togosaba omorembe n' omogoko ase kera oyomo ase engaki eye. Happy Easter 2014."
These are my friends:,"Omorembe bw' Omonene oyio. Abana bamino, Nyanchonori SDA Choir amo n' omosike James M. Omanga abwo."
"The story of how someone found a lost cow, the heart of Moraa people, she remembered Ombwatirie Mang'ana, Baragori Batarute Nche. This could happen to anyone, she remembered indeed, these things relate to Mwanyagetinge’s history and customs.","Mbuya mono gochia ase Geofrey Nyabuto, ase ogotosesenia n' video eye korwa ase Youtube."
"Photos of eyes: Gusii.com at home in Riakworo, Gesima, in Nyamira County. Photos by Petronillah Ogoti, Mwanyagetinge.com files.",Aya amwabo aya:
"They remembered the importance of preserving our heritage. Our elders said that those who forget their past are doomed to repeat it, and preserving our customs is important.","Emorogoba eyemo tokare egeticha ime kwaa chinsaga, omongina magokoro baba Moraa ominto nigo antebetie buna Ombwatirie Mang'ana, Baragori Batarute Nche. Bono kinaboria omong'ina baba igoro y' omorabaro oyo, nigo antebetie buna aaiga, aya akwaneire na Mwanyagetinge omokoro, n' okong'achwa."
This proverb is true forever.,"Amaridadi y' amaiso: Gusii.com at home aaria Riakworo, Gesima, in Nyamira County. Photo na Petronillah Ogoti, Mwanyagetinge.com files."
"Ritangani, they remembered the importance of unity, and the youth were encouraged to come together. This matter should be addressed so that everyone can benefit, the youth should be united, work hard, and cooperate with each other to achieve success.","Nigo baba antebetie buna okong'achwa nkwarengeo korwa kare. Ase boigo, magokoro nigo atebete buna kera ekenyoro, nkiabwate abanto baria bamenyerete kominyokia amang'ana y' oborimo, na kong'acha abande."
"This is about understanding what is right. Those who understand will know what is good, and those who don’t understand will learn from others. The truth is always clear.",Egekoro ki' omorabaro oyo nkere aroro
Don't let the youth lose hope.,"Ritangani, baba nigo antebetie buna ase chingaki chinkoro, abaragori mbakabeire aroro. Bono ekero omonto ang'achirwe buna okorire egento ekebe, abaragori nigo barenge korangerigwa, baruta chinche, na koenekia gose n' amaene oyo okong'achwa gose nakorete amabe, buna egotebwa."
"Those who respect our traditions, the old people say that young people shouldn’t neglect their responsibilities, and they should remember that wisdom comes with age. These things concern Mwanyagetinge’s history and teach us about Ombwatirie Mang'ana, Baragori Batarute Nche.","Bono oise kong'ancha omonto ori omanyire buna nigo are omuya, bari bamomanyete nigo barenge komoegerera. Omonto ekero ang'achire maiso marore, nigo obomaene bogocha bwamanywa."
"Working with the hearts of the Moraa people, this is a good example of cooperation. Thank you for listening.",Nonya n' omoragori tagosaria chingaki
These are my friends:,"Ase ogoteba omorabaro oyo, Abagusii abakoro nigo batagete korwa obosemia ng'a nonya n' omoragori tagosaria koruta enche ase omonto omuya, ekiagera nigo ere maiso marore buna nigo ang'achiru! Bono aya akagera Mwanyagetinge omokoro agateba buna Ombwatirie Mang'ana, Baragori Batarute Nche."
Working with the Standard newspaper.,"Korwa ase magokoro Moraa, oyo noro omobayeno oito ase omokubio oyo. Mbuya mono and thank you for listening."
"Regarding the upcoming elections, the competition between Bonchari and others is fierce. The National Alliance (TNA) chairman and nominated MP Johnson Sakaja, was present during the meeting.",Aya amwabo aya:
"Mr. Sakaja stated that TNA supports Mr. Zebedeo Opore. “We want to give support to Mr. Opore.” He added. In addition, Mr. Sakaja said that TNA’s words and those of Mr. John Oyioka [KANU] would ensure fairness in the election process.",Korwa ase Standard
"ODM has also been active, organizing rallies.","Buna ekororekana, ekerogo ki' obojumbe bw' Bonchari nabo keratware siasa entindi. The National Alliance (TNA) chairman and nominated MP Johnson Sakaja, obeire omotangani koruta chiinko gochia omorero ime."
"In addition, reliable sources have confirmed that the campaign is going well for the Orange Democratic Movement [ODM]. It has been reported that ODM is strong, especially among voters.","Mhe. Sakaja nigo atebete buna TNA nao ere magega ya Mhe. Zebedeo Opore. ""Ntwe twaeire egesero giaito gochia ase Mhe. Opore"" Nabo Mhe. Sakaja atebete. Komenta nayio, Mhe. Sakaja nigo abete buna egambo neroo gati ya TNA amo na Mhe. John Oyioka [ KANU ], komoboria buna gose nenyarekane nere asoe ase ensemo yabo."
"To ensure reliability, ODM has announced nominations for the parliamentary seat in Bonchari, former Kenya National Union of Teachers (Knut) Kisii branch chairman Geoffrey Mogire. Mr. Mogire previously served as The Coordinator of ODM in Kisii County since 2013.","Bono ODM yachakire gosegasega, korigia omorwanereri oikeranete"
"The residents of Bonchari are eagerly awaiting the decision of The Court Of Appeals, which sits in Kisumu, regarding the eligibility of candidates.","Komenta nayio, naende amang'ana akwanirwe buna omorero ochakire gwoka gati ya Orange Democratic Movement [ ODM ]. Nigo yatebekanire buna esegi nere gati ya ODM, igoro y' omorwanereri obo, ase ekerogo eke."
"Concerning this case, The Court Of Appeals overturned the ruling of the High Court Of Kenya, Kisii Town, which had declared Mr. John Oyioka ineligible.","Buna amang'ana akwanirwe, ODM nabo erae ribaga eri ri e nomination gochia ase omorwanereri omogeni ase siasa ya Bonchari , former Kenya National Union of Teachers (Knut) Kisii branch chairman Geoffrey Mogire. Omosike Mogire nere orenge The Coordinator ya ODM ase Kisii County, ase chikura echi chiaera chia 2013."
"The next election in Bonchari is scheduled for June 2, 2014.","Obochori bw' chikura ch' Bonchari nigo bogocha koba ase engencho The Court Of Appeals, Aaria Kisumu, yateba buna omorwanereri oyomo bweka, takoira ekerogo n' chikura inye chioka!"
"Beautiful scenery. Gusii.com at home in Bogiakumu, Bonchari, Kisii County. Pictures by Petronillah Ogoti, Mwanyagetinge.com files.","Ase okorwa obogambi obo, The Court Of Appeals nigo yaonchora ekegambero kia High Court Of kenya, Kisii Town, ekio kiabegete Mhe. John Oyioka koba omojumbe."
These are my friends:,"Chikura chiinke chia Bonchari nigo chikare chitariki 2, Ebwagi [ June ], 2014."
"Gusii.com appreciates your support. We appreciate anyone who respects the Gusii culture and helps us maintain its values. For now, this message is enough; I conclude.","Amaridadi y' amaiso. Gusii.com at home in Bogiakumu, Bonchari, Kisii County. Picture na Petronillah Ogoti, Mwanyagetinge.com files."
"I sincerely thank everyone from the bottom of my heart, and I hope that this meeting will be successful, so that we can continue to work together. Also, people should understand that there are challenges, but we will overcome them, and we will succeed.",Aya amwabo aya:
"Every Gusii person deserves respect, and we will always remember that, Mwanyagetinge!","Gusii.com ntwaborigwa riborio. Nigo twaborigwa gose omogaka Omogusii orenge konywoma abakungu abange, nkobatimia arenge bonsi ebitinge. Ase okoiraneria, ritangani inche nigo nechokanetie kogenda o magokoro, koboria."
"However, tradition dictates that things should be done respectfully. This tradition requires that we honor our ancestors and their legacy, and all generations. And again, people should know that there are secrets that need to be kept confidential, so that the Gusii people can thrive!","Ekero naboretie omongina magokoro baba ominto, nigo antebetie buna ritangani, ase chingaki echi chiaetire, enywomo nigo yarenge eye engencho mono. Ase amatuko ayio, nigo omosubati arenge gotimigwa ebitinge ase amagoro aye, erinde komanyia ense buna nigo asogete, naende nare na bwoye."
"Respecting traditions means maintaining order and peace. Also, respecting traditions allows us to learn from the past and avoid repeating mistakes. This tradition is important for progress, ensuring that everything goes smoothly.","Omogusii bweka nere orenge gotimia ebitinge, aya akagera ntwe tokebaka, Mwanyagetinge!"
The leader of Mwanyagetinge deserves respect from everyone!,"Eriakabere, egetinge nigo kiare gotimigwa n' omokorerani. Bono goika omokorerani oyo nere abe buna natimetigwe ebitinge ase egetingiro kiaye, kia amagoro onsi. Ase boigo, baminto inyora buna gesaku nkeiyo ense engima kiare kobekera abasubati ebitinge, otatiga Omogusii bweka!"
"This leader, who respects the elders and works hard to uphold cultural values, deserves respect from all people, including those who disagree with him! He understands that success comes through collaboration and perseverance.","Omoiseke orenge gotimigwa ebitinge nigo arenge bw' esiko enene ase ekenyoro eke. Ase boigo, ekero arenge gotimigwa ebitinge ebi, nigo arenge gochora erieta rie egetinge arenge gochia korokwa bwoye. Bono egetinge nigo kiare gotinga enyangi, erinde yamanya kororekana buna enywomo yabeire."
"Those who disrespect traditions deserve punishment. Those who violate the laws of tradition and harm the community include: Kemunto, Kerubo, Moraa, and Kwamboka.","Omogaka o Mwanyagetinge, nigo arenge gotimia abang'ina baye bonsi ebitinge!"
"The culture of tradition is very precious and vital to the Gusii people. From the bottom of my heart, Moraa hopes that the leader and his team will respect the elders. Below: Kerubo reflects on preserving the identity of the Gusii people. Picture with Petronillah Ogoti, Gusii.com files.","Bono omogaka orenge konywoma abakungu abange na onye orenge kobakorera enyangi y' ebitinge, nigo aregotimia abakungu aba bonsi ebitinge, ekiagera n'a baaye! Iga bono nario enyangi gose enywomo eye yakong'a na kororekana koba enywomo y' obomaene."
These reports state:,"Omosubati ekero atimigwe ebitinge, nigo arenge gochora erieta r' okwebaka. Gat y' amarieta y' okwebaka ase abasubati bari barenge kobekerwa ebitinge nigo are: Kemunto, Kerubo, Moraa amo na Kwamboka."
Reported by The Standard.,"Enyangi y' ebitinge nigo yarenge eye eng'encho mono kegima ase Omogusii. Omongina magokoro Moraa nigo antebetie buna omogaka nabo arenge gotimia abakungu baye bonsi ebitinge. Below: Omongina Kerubo obogoirie ekee gi' okobeka obokima Bw' Omogusii. Picture na Petronillah Ogoti, Gusii.com files."
"The by-election for the Bonchari Constituency seat was held in June. In the 2013 Bonchari election, former Prime Minister Raila Odinga received 25,984 votes. Meanwhile, President Uhuru Kenyatta received 7,040 votes.",Aya amwabo aya:
"People, what does ODM really want?",Korwa ase The Standard.
"Why did Mr. Raila, representing the Orange Democratic Party (ODM), support a candidate in Bonchari when the ODM representative, Mr. Charles Onyancha, had already been nominated, alongside Mr. Oyioka and Mr. Opore? Another candidate was Mr. Albert Monyancha representing the Wiper party.","Oboaki bw' chikura chinke chia Bonchari Constituency bwabekirwe koba ase engaki y' Ebwagi [ June ]. Ase chikura chinene chia 2013 korwa Bonchari, Former Prime Minister Raila Odinga nigo abwate chikura 25,984. Ase boigo, President Uhuru Kenyatta nigo abwate chikura 7,040."
"What if the results of this election show that ODM has won again, proving its strength?","Baminto, bono ODM ninki eganyete?"
"My observations about the election in Bonchari, in 2014","Bono nonya Mhe Raila korwa Orange Democratic Party ( ODM ) obete omobui ase Bonchari, omorwanereri bw' ODM, Mhe. Charles Onyancha nigo abete oyo ogatato, magega ya Mhe. Oyioka amo na Mhe Opore. Omorwanereri o kane nigo arenge omosike Albert Monyancha korwa ase Wiper party."
"As far as I know, the candidates contesting the seat were:","Bono nonya chikura echi chikare bwango iga, teramanyekana buya gose ODM nebwate omorwanereri kegima ase ekerogo eke."
"[ I ]. Former MP Mr. John Oroo Oyioka,","Nintagete chikura in Bonchari, in 2014"
"[ II ]. Former MP Mr. Zebedeo Opore,","Buna ekageire goikera bono, abarwanereri baraborie ekerogo eke nigo bare:"
"[ III ]. Professor Charles Okioga, from Kisii University,","[ I ]. Former MP Mhe John Oroo Oyioka,"
"[ IV ]. Teacher Geoffrey Mogire from the Kenya National Union Of Teachers (KNUT),","[ II ]. Former MP Mhe. Zebedeo Opore,"
"[ V ]. Former MP Mr. Charles Onyancha and,","[ III ]. Professor Charles Okioga, korwa Kisii University,"
[ VI ]. Teacher Albert Monyancha.,"[ IV ]. Omosike Geoffrey Mogire korwa Kenya National Union Of Teachers ( KNUT ),"
"This case, which is ongoing, is being heard at the Court of Appeals, Kisumu branch, and it will be determined whether another candidate can contest the election, pending a new date!","[ V ]. Former MP Mhe Charles Onyancha amo na,"
"This decision overturned the ruling of the High Court of Kenya, Kisii branch, which had declared Mr. John Oyioka the winner.",[ VI ]. Omosike Albert Monyancha.
"The by-election for the Bonchari seat took place on June 2nd, 2014.","Obochori obo oboke nigo bogocha koba ase engencho The Court Of Appeals, Aaria Kisumu, nigo yatebete buna omorwanereri oyomo takoira ekerogo, n' chikura inye chioka!"
These reports state:,"Ekoti eyio nigo yaonchorete obogambi bw' High Court Of Kenya, Kisii, eyio yabegete Mhe. John Oyioka koba omojumbe."
"Long ago, a story circulated around the area of Nyangweta. It is said that a certain person stole several items belonging to others, hiding them so they wouldn't be found by the owner.","Chikura chinke chia Bonchari nigo chikare chitariki 2 Ebwagi [ June ], 2014."
"Later, those who had stolen the items gathered and agreed to return everything, fearing the consequences. However, once the owner recovered their belongings, they refused to accept them back, claiming they were damaged beyond repair.",Aya amwabo aya:
"They claimed that the returned items were no longer useful and were completely broken, making them worthless. Those who had stolen the items regretted their actions and wished they hadn't bothered returning anything.","Abwo kare kare, engoncho eyemo yamenyete aaria ase rinani ria Nyangweta. Aaiga, omoruoti nere ore kogamba nigo abwate abakori egasi baye, bagachire ase rinani eri batwara, erinde baretera omoruoti obo endagera."
