English,Kiswahili,Ekegusii,Domain,PSA_Probability,Is_PSA
Nyeri (Kieni) County: Drought Early Warning Bulletin for December 2023,Kaunti ya Nyeri (Kieni): Taarifa ya Onyo la Mapema kuhusu Ukame Desemba 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.854,1
"How to avoid spreading #COVID19 DO Stay at least 2 metres away from anyone Wash your hands often with soap & running water Cover your mouth & nose when you cough Wear face mask Don’t Do not touch your eyes, nose or mouth if your hands are not clean. #KomeshaCorona","Jinsi ya kuepuka kueneza #COVID19 JE Kaa angalau mita 2 kutoka kwa mtu yeyote Osha mikono yako mara kwa mara kwa sabuni na maji yanayotiririka Funika mdomo na pua unapokohoa Vaa barakoa Usiguse macho, pua au mdomo wako ikiwa mikono yako si safi. #KomeshaCorona",,Public Health,0.7794,1
Healthy minds create healthy workplaces. Lets foster environments that prioritize mental health and support employees well-being,Akili zenye afya huunda sehemu za kazi zenye afya. Tukuze mazingira yanayopa kipaumbele afya ya akili na kusaidia ustawi wa wafanyakazi.,"Ebirengererio bichenegete, ebigokonya korenta obuya ase ogokora egasi .
 Tiga torosie ase emeremo agaya tosire oborwaria bw'obongo na abakoria egasi bachenegete na baikeranete ase chinsemo chionsi.",Health,0.9102,1
What it is like to survive female genital mutilation (FGM),Inakuwaje kunusurika ukeketaji wa wanawake (FGM),N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.6639,1
Kenya: Making ends meet through a cash transfer program,Kenya: Kupata riziki kupitia mpango wa kuhamisha pesa,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.7036,1
GBV survivors get free counseling + legal aid ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ call 0800721524 now!,,"Bario bagochigigwa (GBV) konyora ogokonywa kwa bosa ase ebirengereri na kemachiko, aka esimi 0800721524 bono!",Education,0.9255,1
Entry into market opens wide mechanisms of quality stamping by KNAP and CNAP in the county,,Egesieri gia chindagera nkorenta ere ebiigorero ebinge ase okobwati kegima ebimanyererio inse ya KNAP na CNAP ase ekaunti,Health,0.7911,1
Narok County: Drought Early Warning Bulletin for February 2023,Kaunti ya Narok: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Februari 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8665,1
"Kenya has not reported circulating variant poliovirus type 2 (cVDPV2) cases in the past 15 months, and continued surveillance and Kenya's strengthened laboratory capacity will help sustain this momentum and ensure no resurgence.","Kenya haijaripoti visa vya virusi vya polio aina ya 2 (cVDPV2) vinavyozunguka katika muda wa miezi 15 iliyopita, na ufuatiliaji unaoendelea na kuimarishwa kwa uwezo wa maabara nchini Kenya kutasaidia kuendeleza kasi hii na kuhakikisha hakuna kuzuka tena.",,Health,0.8757,1
"Managing risks in livestock requires planning. Learn strategies for diversification, contracts, and coping with specific risks like drought.",,"Gotanga amarwaire ase etugo negento kiengencho. Soma buna oragarei oboremi, obokoreri, na buna orekongie ase eguragura.",Agriculture,0.8788,1
Garissa County: Drought Early Warning Bulletin for June 2022,Kaunti ya Garissa: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Juni 2022,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8793,1
"Guard yourself from harsh weather by practicing water harvesting skills, drought resistance crops, ( sweet potatoes) and preservation..",,"Etugeeke korwa eguragura goetera okwegera gotacha na kogacha amache, gosimeka ebimeri birwa bikoremereria eguragura buna (amarabwoni), na enchera engiya yokonyagacha.",Agriculture,0.795,1
Register in the upcoming course on bee keeping to increase knowledge and experience on bee keeping.,,Erikease ekosi egocha kwegera igoro buna okorenda emetana yechinchoke erio gokinia obomanyi bwao igoroyobotugi bwechinchoke.,Agriculture,0.73,1
"The Covid-19 global pandemic requires inclusive approach to prevent the transmission of the virus. During this time of uncertainty, faith leaders such as Methodists have turned religious theology to find comfort for the community and encourage safe practices to #KomeshaCorona","Janga la kimataifa la Covid-19 linahitaji mbinu jumuishi ili kuzuia maambukizi ya virusi hivyo. Katika wakati huu wa mashaka, viongozi wa imani kama vile Wamethodisti wamegeuza teolojia ya kidini kupata faraja kwa jamii na kuhimiza mazoea salama kwa #KomeshaCorona.",,Public Health,0.8837,1
Upgrade sanitation! Provide safe toilets to prevent cholera.,Boresha usafi wa mazingira! Toa vyoo salama ili kuzuia kipindupindu.,Agacha chinyomba chiobochenu chinyia! Beka chichoo chingiya gotanga endwari yogosaa.,Education,0.8688,1
EACC urges Kenyans to report all forms of corruption for investigation.,EACC inawasihi Wakenya kuripoti aina zote za ufisadi kwa ajili ya uchunguzi.,EACC yaboririe abakenya kuripoti obokurumi bonde bwonsi binyare gotukwa,Governance,0.9477,1
"Announcement of millet and sorghum adoption to promote climate-smart, nutrient-rich diets at national policy forum.",Tangazo la kupitishwa kwa mtama na mtama ili kukuza lishe bora na zenye virutubisho vinavyozingatia hali ya hewa katika jukwaa la kitaifa la sera.,"Koraria oboremi bwamaemba komenta chindagera chikoigwana nerire, bosio bwe' chingongo chinde",Health,0.8849,1
Kenya Situation Update | December 2023: Examining Local Community Peace Agreements as Alternative Routes to Peace,Sasisho la Hali ya Kenya | Desemba 2023: Kukagua Makubaliano ya Amani ya Jumuiya ya Maeneo Kama Njia Mbadala za Amani,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.868,1
Learn how to access agricultural extension services in your area from providers like County Extension Officers for advice and training.,Jifunze jinsi ya kupata huduma za ugani wa kilimo katika eneo lako kutoka kwa watoa huduma kama Maafisa wa Ugani wa Kaunti kwa ushauri na mafunzo.,Egera komanya buna oranyare goikera obokonyi bwoboremi korwa abatebereria abwo nka yao ikorwa  buna abaagirigacha beserikari ye kaonti Extension ogosemia amo nechisemi,Agriculture,0.9296,1
Kilifi County: Drought Early Warning Bulletin for August 2024,Kaunti ya Kilifi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Agosti 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8198,1
Lamu County: Drought Early Warning Bulletin for October 2024,Kaunti ya Lamu: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8566,1
Kitui County: Drought Early Warning Bulletin for May 2024,Kaunti ya Kitui: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Mei 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8646,1
"We call upon all stakeholders political leaders, candidates, and citizens to exercise restraint, demonstrate respect for law and put the interest of the nation above all else.Let us remember: Elections are not a battle of might, but a contest of ideas.","Tunawaomba wadau wote viongozi wa kisiasa, wagombea, na raia kujizuia, kuonyesha heshima kwa sheria na kuweka maslahi ya taifa mbele ya yote. Tukumbuke: Uchaguzi si vita vya nguvu, bali ni mashindano ya mawazo.","Nigo tokoboria abarai bonsi begesiasa, baria bakorigia chikura, na abaninainch babe abatoereru, borokererie gosika richiko na kobeka okogania kwa abanto igoro ya kende gionsi.Tiga toinyore: Chikura tari esegi, tari okobetererigwa, chinguru,okogosereria gose ning'o ore nechinguru kobua oyonde, korende okoamemeraria kwebirengererio.",Governance,0.7692,1
The neighborhoods of Baringo is fighting malaria through their traditional practices in a combination of using treated nets,,Eamate ya Baringo nigo ekorwania esosera goetera chinchera chiegekoro amo ne chineti.,Health,0.7785,1
Join us in the fight against corruption. Be part of the solution.,Jiunge nasi katika vita dhidi ya ufisadi. Kuwa sehemu ya suluhisho.,Tobwatisies ase ekinano nobokengeka. Kabe oyomo ase okoreta ekeganeirie.,Security,0.792,1
Use incognito mode on shared devices to avoid saving browsing history.,Tumia hali fiche kwenye vifaa vilivyoshirikiwa ili kuepuka kuhifadhi historia ya kuvinjari.,"Ekero ogotumia ekombiuta yeintaneti, yebeke tabaisa kogacha eki kware korora gose gosoma ekero gwasiekire eki kware gokora. Renda gotagacha eki ogokora ase ase ekombiuta.",Security,0.8082,1
Baringo County: Drought Early Warning Bulletin for April 2023,Kaunti ya Baringo: Taarifa ya Onyo la Mapema kuhusu Ukame la Aprili 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8478,1
Focus on rights-based storytelling,Zingatia usimulizi wa hadithi unaozingatia haki,Renga nga gokorwa emegano ase oboegereri bwao ngokora ore ayio goetera chinchera chincheire chikemwanyabanto.,Education,0.7061,1
"Between survey waves, the median value of aid received by refugee households fell following repeated ration cuts and the suspension of voucher systems.","Kati ya mawimbi ya uchunguzi, thamani ya wastani ya misaada iliyopokelewa na kaya za wakimbizi ilishuka kufuatia kupunguzwa kwa mgao mara kwa mara na kusimamishwa kwa mifumo ya vocha.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.5267,0
"Ear disease can cause deafness, seek for medical attention without delay.",,Oborwaire bwamato nabo boragere otine. Rora omonyagitari kengima,Health,0.7263,1
"The organization for most dpendent medicine, will suspent distribution of this important drugs from USAID, whose decision will affect distribution of malaria and HIV AIDS drugs",,"Ekeombe Kia Amariogo aria aganirie mono, gotenenia okobagwa Kwa amariogo yeng'encho korua ase USAID, egetambokero keranyare koreta obokong'u ase okobagwa Kwa amariogo a Esosera na Enyamoreo.",Health,0.7256,1
The Kenya Cash Consortium Alert-Based Cash Assistance to Disaster-Affected Communities in Garissa and Turkana Counties: Endline (May 2025),Msaada wa Tahadhari ya Kenya Cash Consortium kwa Jamii Zilizoathiriwa na Maafa katika Kaunti za Garissa na Turkana: Endline (Mei 2025),N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.9317,1
Airports nationwide were placed on high alert with intensified screenings following a classified security memo.,Viwanja vya ndege kote nchini vimewekwa katika tahadhari kubwa huku uchunguzi ukiimarishwa kufuatia taarifa ya usalama iliyofichwa.,Ebitii biechindeke Kenya engima mbiabiaboretigwe koba maiso na komongera buya baria bonsi bagosoa ase ebitii ebio korengana nogokurerwa kwa ime kwarwetwe nabarendi boborendi.,Security,0.6576,1
Embu (Mbeere) County: Drought Early Warning Bulletin for November 2023,Kaunti ya Embu (Mbeere): Taarifa ya Onyo la Mapema kuhusu Ukame ya Novemba 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8554,1
"School records full transition to high school, expands vocational training.","Shule inarekodi mpito kamili hadi shule ya upili, inapanua mafunzo ya ufundi.","Esukuru yaikeranirie okwamboka gochia esekenderi ya igoro, garei chikirechi chinke",Education,0.7922,1
New mothers may experience sadness or anxiety. Counseling and support groups can help.,Akina mama wapya wanaweza kupata huzuni au wasiwasi. Ushauri nasaha na vikundi vya usaidizi vinaweza kusaidia.,Abasubati abageni ase oboibori nabo bakonyora omoichano gose obwoba. Gokwanerwa okuya n'ebiombe bie obokonyi nabo kogokonya.,Health,0.7391,1
"Progressive digital farming is important in diversifying in other areas to attain food security. However, biotechnology aims at increasing crops though it appears..",,"Okogendera ase ensemo yoboremi bwegidichitari kwabeire okwengencho as okoreta omoroberio omoyia goikerania omoigoto ase chinsemo chinde. Nonya nogo, tekinorochia erengete gokinia ebemeri biorongo yarorekanire koba ande ake ...",Agriculture,0.8423,1
Are you worried or stressed about the ongoing #COVID-19 Pandemic? @KenyaRedCross telecounselors are on hand to offer you support anytime. FREE counseling Call 1199 More on #Coronavirus 719 - Toll FREE Text - 719 health.go.ke/covid-19/ #KomeshaCorona,"Je, una wasiwasi au kufadhaika kuhusu Janga la #COVID-19 linaloendelea? @KenyaRedCross telecounselor wako tayari kukupa usaidizi wakati wowote. Ushauri BURE Piga 1199 Zaidi kuhusu #Coronavirus 719 - Tuma SMS MALIPO - 719 health.go.ke/covid-19/ #KomeshaCorona",,Public Health,0.9398,1
"Agroforestry systems provide shade and improve microclimates for livestock, enhancing welfare and productivity.","Mifumo ya kilimo cha misitu hutoa kivuli na kuboresha hali ya hewa ndogo kwa mifugo, na hivyo kuongeza ustawi na tija.","Omoroberio bwboremi bwokoburukania ebimeri amo nemete nkorenta bore ekiriri ase  ebimeri, kogesa amakonde aria agotobia riroba, na kogesa endagera ase etugo, na kwangoyia oboikeranu bwerigesa na ebitoki korwa oboremi.",Agriculture,0.8782,1
Schools directed to hold mock elections to teach democratic process.,Shule zaagizwa kufanya uchaguzi wa majaribio ili kufundisha mchakato wa kidemokrasia.,Chisukuru chiachikirwe gokora obochori bwabana kwegeria abana igoro yemeroberio yobochori eng'ikeranu.,Education,0.8512,1
"Farming that incorporates climate smart changes aims at attaining food security and climate changes, in reducing gas emisions. FAO..",,"Oboremi boria bokoremereria ogosareka kwerire (CSA) engencho yeye nigo erengete omoigoto nogoonchoreria kwerire, naboigo gatnga embeo eria egosaria rire. FAO ...",Agriculture,0.8407,1
"Members pool savings to provide micro-loans, share skills and provide mutual social support, providing a vital vehicle for financial inclusion and poverty reduction in many communities.","Wanachama hukusanya akiba ili kutoa mikopo midogo midogo, ujuzi wa kubadilishana na kutoa usaidizi wa kijamii, kutoa chombo muhimu cha ushirikishwaji wa kifedha na kupunguza umaskini katika jamii nyingi.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8786,1
Rising temperatures elevate the risk to Nairobi's malaria-free status,Kuongezeka kwa joto huongeza hatari ya kutokuwepo kwa malaria jijini Nairobi,"Ogokina Kwa riberera,gokomenta okonyarekana Kwa Esosera gotabao ase ensemo ya Nairobi",Health,0.8644,1
"SHE-GROW (a contraction of “Sustainable Holistic Empowerment: Growing Economic Resilience Opportunities for Women in Rural Africa”) is an 18-month initiative aimed at strengthening the economic resilience of women and their communities in Kenya, Côte d’Ivoire and Morocco.","SHE-GROW (ufupisho wa “Uwezeshaji Endelevu wa Kijumla: Kukua Fursa za Kustahimili Kiuchumi kwa Wanawake katika Afrika Vijijini”) ni mpango wa miezi 18 unaolenga kuimarisha uthabiti wa kiuchumi wa wanawake na jumuiya zao nchini Kenya, Côte d’Ivoire na Morocco.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8252,1
Mandera County: Drought Early Warning Bulletin for March 2024,Kaunti ya Mandera: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8571,1
A new solar dryers shows promise for improving sweet potatoes yields/profitability. Learn more about its application and benefits.,Mashine mpya ya kukaushia viazi vitamu kwa kutumia nishati ya jua inaonyesha matumaini ya kuboresha mavuno/faida ya viazi vitamu. Jifunze zaidi kuhusu matumizi na faida zake.,Emasini enyia ekogendigwa nechinguru chierisase ase okwomia amarabwoni  yaire abarami omyo bwokogesa nagokinia oboremi nerigesa  erio bagese okonyora okuya. Egera mono igoro buna emasini eye egokora emeremo nobuya bwaye.,Agriculture,0.7346,1
Kenya Drought Flash Appeal: October 2021-October 2022 (Revised in May 2022),Rufaa ya Kenya ya Kiwango cha Ukame: Oktoba 2021-Oktoba 2022 (Iliyorekebishwa Mei 2022),N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8972,1
Govt releases 2025 academic calendar.,,Eserikari gosokia omoroberio bwamasomo omwaka 2025.,Education,0.8112,1
Ministry of Education promotes partnerships between universities and industry for practical research and innovations.,,Eminisitiri yechisemi nkogora ere okobwaterana gati yechiyunifasiti nechifakitori fase ogokora obokongori bwobongaini bwamasomo oboyia.,Education,0.7509,1
Effective cooperative management relies on clear rules and good governance. Learn the essentials for running a successful credit group.,Usimamizi mzuri wa ushirikiano hutegemea sheria zilizo wazi na utawala bora. Jifunze mambo muhimu ya kuendesha kikundi cha mikopo chenye mafanikio.,Oboteneri obuya ase ebiombe bioboremi nigo borengete amachiko amaya na obokoreri  oboikeranu. Egera igoro yebiganeirie koraa eeombe gekorwa obonyi bwechibesa.,Agriculture,0.7764,1
Free virtual reality CBC lessons launched ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ use phone + cardboard viewer!,,"Omoroberio bwogosomia goetera ogokwanerana ase  amasomo a CBC ochakirwe, tumia esimi use phone + cardboard viewer!",Education,0.9218,1
Teach children to avoid sharing personal details with 'online friends'.,Wafundishe watoto kuepuka kushiriki maelezo ya kibinafsi na 'marafiki mtandaoni'.,Abana batige gosanga amangana abao nabasani babo bembeo goeera eintaneti.,Security,0.8831,1
MULEMBE NATION POLITICS Mudavadi asserts that UDA will win the Malava parliamentary by-election Local leaders urged to stop engaging in divisive politics,,SIASA YA ABARUYA Mudavadi onsingereire goteba ng'a ekiama gia UDA nkebue ekerogo kiobochori oboke ase ensemo ye'bunge yamalava. Abarai baborigwe gotakora siasa chiokobagana abanto.,Governance,0.664,1
"Announcement about the campaign by the media houses under the leadership of experts with the capacity on self care, and capaity measurement through mobili phones in the midist of a week targeting brain development.",,"Okoraria gwekampeini na eɓokoreri bwamangana ekorau nabanyene bare eriosa ase okwerenda abanyene, okorengwa na obomanyi goetera chisimi gati yomokubio bwogokinia obongo",Health,0.7634,1
Marsabit County: Drought Early Warning Bulletin for June 2024,Kaunti ya Marsabit: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Juni 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8638,1
Honor outstanding teachers 2025.,Heshimu walimu bora 2025.,basike abarimu bagosomia buya 2025.,Education,0.8568,1
Access EduTV via Kenya Education Cloud daily.,Fikia EduTV kupitia Kenya Education Cloud kila siku.,Nyora amasomo goetera omoroberio bweserikari (Edu TV) okera rituko,Education,0.9459,1
Beans packaging safeguards them and fetches a good value. Learn how best you can brand your beans properly to compete in international markets.,,Ogosiba chingende nigo kogochirenda buya na kogesa rigori. Rigia komanya buna oranyare gosiba chingende chiao buya ase okoonia gochia echiro ya isiko.,Agriculture,0.7455,1
"This publication describes climate-smart agriculture (CSA) case studies from around the world, showing how the approach is implemented to address challenges ...","Chapisho hili linaelezea tafiti za mifano ya kilimo kinachozingatia mabadiliko ya tabianchi (CSA) kutoka kote ulimwenguni, likionyesha jinsi mbinu hiyo inavyotekelezwa ili kushughulikia changamoto ...","Egatabu eke nigo geworokereria igoro yoboremi borengete ogsareka kwerire (CSA) ebikworokereria korwa chingongo aoao chience, chikworokia bua omoroberio oyo ogokorwa gokonya omochando oyo ...",Agriculture,0.8317,1
"Southeast Asia and other tropical regions face a distinct heat challenge driven by the combination of high temperatures, high humidity and prolonged exposure.","Asia ya Kusini-mashariki na maeneo mengine ya kitropiki yanakabiliwa na changamoto tofauti ya joto inayotokana na mchanganyiko wa halijoto ya juu, unyevunyevu mwingi na mkato wa muda mrefu.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.4332,0
On September 10 2021 KUCCPS released placement results for 2020 KCSE candidates with 130000 placed in TVET diploma and certificate courses.,,Chitariki 10 omwaka 2021 ekeombe keria ekenene getenerete gochora abana gochia eyunifasiti nechikorechi (KUCCPS) ngiasogetie romoreberio bwa'bana bagosoa chiyunifasiti nechikorechi omwaka 2020 ase abana baria bakorete esekenderi (KCSE) goika amabaga 130000 ase abana bekosi yedipuloma TVET na amasomo ande yechisatifiketi yedipuloma.,Education,0.8691,1
A new platform has been launched to bring together farmers and buyers.,,Chinchera chinyia chiachakirwe kobwatania abaremi gochia abagori gotaertera monto onde.,Agriculture,0.4873,0
Read to succeed! Ensure every student has textbooks.,Soma ili ufanikiwe! Hakikisha kila mwanafunzi ana vitabu vya kiada.,Soma erio oikrania! Rora nga kera omwna nabwate ebitabu.,Education,0.7665,1
Employers should provide breastfeeding breaks and spaces to support maternal and child health.,Waajiri wanapaswa kutoa mapumziko ya kunyonyesha na nafasi ili kusaidia afya ya mama na mtoto.,Àbàriku barwa amabaga yokogonkia na gosegeta abangina bakogonkia,Health,0.9196,1
Kitui County: Drought Early Warning Bulletin for August 2024,Kaunti ya Kitui: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Agosti 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8368,1
Engage students! Create forums to address unrest.,Washirikishe wanafunzi! Unda majukwaa ya kushughulikia machafuko.,Bwaterana nabana! Rosia ribaga riogokwanerana igoro yamangana abachandete.,Education,0.8783,1
Submit Your Opinions Ã¢ ‚¬ œ Kilifi County Government Governors Commitment and Plan Kilifi County Directory Kilifi County Assembly Copyright 2024 Kilifi County Government Karibu Kilifi Office Of The Governor Call us on 0200 200 200 News & Speeches e-Services Tenders Jobs Staff Access Back Submit Your Opinions Are you a Kilifi Resident?,"Wasilisha Maoni Yako Ã¢ ‚¬ œ Serikali ya Kaunti ya Kilifi Kujitolea na Mpango Saraka ya Kaunti ya Kilifi Bunge la Kaunti ya Kilifi Hakimiliki 2024 Serikali ya Kaunti ya Kilifi Karibu Kilifi Ofisi ya Gavana Tupigie simu kwa 0200 200 200 Habari na Hotuba Huduma za Kielektroniki Zabuni Kazi Wafanyakazi Ufikiaji Rudi Wasilisha Maoni Yako Je, wewe ni Mkazi wa Kilifi?","Toma ebirengererio biao‚ Enkwana yomogavanor bweserikari yekaonti ya Kilifi, omoofisa bwemeroberio, noria otenerete amaagacho, ebumge ya Kilifi Kilifi, ofisi yomogavana, aka esimi 0200 200 200 amangana nechinkwana goetera e-Services ase okogora chitenda?",Governance,0.8163,1
Taxation and policy biases against agriculture include: concentration of public investments in areas of infrastructure and provision of safety ...,Ushuru na upendeleo wa sera dhidi ya kilimo ni pamoja na: mkusanyiko wa uwekezaji wa umma katika maeneo ya miundombinu na utoaji wa usalama ...,Ebango na amachiko akomiga abaremi naro buna aya: eserikari koengeria obokoreri bwaye gochia chingongo gete kobua echinde amo na omorobwerio bwoborendi...,Agriculture,0.9729,1
Advancing Water Security in the IGAD Region,Kuendeleza Usalama wa Maji katika Mkoa wa IGAD,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.7021,1
"Join our outreach in Nandi County: raise awareness, promote ethics, and stand with us against graft.","Jiunge nasi katika Kaunti ya Nandi: ongeza uelewa, endeleza maadili, na usimame nasi dhidi ya ufisadi.","Inchuo naintwe ase ogoikera abanto isiko gokwanerana aiga ekaonti yaito ya Nandi: manyia abanto, segeta chingencho chingiya, na tenena naintwe korwania obokengeka.",Security,0.9143,1
Free LinkedIn Learning for all university students ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ activate with .ac.ke email!,,"Amasomo a bosa goetera LinkedIn ase aban bonsi beyunifasiti, Chakia omoroberio oyio goetera .ac.ke aintaneti!",Education,0.9396,1
"Malaria can be prevented by use of mosquito nets, spraying of households with insecticide, screening windows to prevent mosquito entry, preventive medicine for pregnant women where applicable & environmental measures. #WorldMalariaDayKe #ZeroMalariaStartsWithMe #KomeshaCorona","Malaria inaweza kuzuilika kwa kutumia vyandarua, kunyunyizia kaya dawa za kuua wadudu, kuchuja madirisha ili kuzuia mbu wasiingie, dawa za kinga kwa wajawazito pale inapobidi na hatua za kimazingira. #SikuYaMalaria Duniani #ZeroMalariaInaanzaNami #KomeshaCorona",,Public Health,0.9317,1
Develop a clear business plan for your irrigation or dairy unit. Learn the essential components and how it helps in securing finance.,Tengeneza mpango wa biashara ulio wazi kwa ajili ya kitengo chako cha umwagiliaji au cha maziwa. Jifunze vipengele muhimu na jinsi vinavyosaidia katika kupata fedha.,Rosia omoreberio omuya bwoboonchoreria bwoboremi bwao as ogosiarera amache gose omoremi bwechiombe chia amabere. Egera igor yechinsemo chibwenerete chiragokonye ase okonyora eroni yoboremi,Agriculture,0.7725,1
"We have no time to visit the hospital to get the COVID-19 vaccination."" In a 10-day campaign targeting 11 of Kenya's 47 counties that had some of the lowest vaccination coverage, World Health Organization (WHO) along with the county governments, non-governmental organizations and other partners were determined that no one would be missed.","Hatuna muda wa kutembelea hospitali ili kupata chanjo ya COVID-19."" Katika kampeni ya siku 10 iliyolenga kaunti 11 kati ya 47 za Kenya ambazo zilikuwa na chanjo ya chini zaidi, Shirika la Afya Ulimwenguni (WHO) pamoja na serikali za kaunti, mashirika yasiyo ya kiserikali na washirika wengine waliazimia kuwa hakuna mtu ambaye angekosa.",,Health,0.8635,1
The Commission urges all agencies involved in the issuance of National Identity cards to fast-track the issuance and distribution of the IDs to enable Kenyans who have attained the age of 18 to be registered as voters.,Tume inazihimiza mashirika yote yanayohusika katika utoaji wa vitambulisho vya kitaifa kuharakisha utoaji na usambazaji wa vitambulisho hivyo ili kuwawezesha Wakenya waliofikisha umri wa miaka 18 kusajiliwa kama wapiga kura.,Orosagia rwa eserekali yasegetire chinsemo chionsi chigosanga ase okorwegwa kwa ebipande na koenanwa bwango erio abakenya baikire emiaka 18 berikie buna abaaki chikura,Governance,0.7581,1
"Kenya, Africa | Floods 2023 Operation Update (MDRKE058)","Kenya, Afrika | Sasisho la Operesheni ya Mafuriko 2023 (MDRKE058)",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.9118,1
Tharaka Nithi residents urged to plant more trees particularly in community lands.,Wakazi wa Tharaka Nithi wahimizwa kupanda miti zaidi hasa katika ardhi za jamii.,Abamenyi ba Tharaka Nithi baborigwe gosimeka emete ase emegondo  yebinyoro.,Governance,0.9114,1
United Nations facilitated regional training in Nairobi to strengthen gender responsive approaches in counter terrorism and preventing violent extremism.,,Ekeombe ekenene giense (UN) nkiaegeretie abarai bechingongo chia Nairobi erio gokwanera obokongu abanto bechingencho ao ao babwate ario gosegeta oboreng'ananu buna enchera eyemo yogotanga obokebago nogosarigwa ebirengererio.,Security,0.85,1
Kenya launches curriculum enabling officers to identify and counter extremism.,Kenya yazindua mtaala unaowawezesha maafisa kutambua na kukabiliana na itikadi kali.,Kenya yaansire amasomo gokonya abarai komanya na gotanga obokebago bwogosaria ebirengererio.,Security,0.8908,1
Support research grants 2025.,Ruzuku za utafiti za usaidizi 2025.,Sira emeroberio yechibesa chiokorigia obomanyi oboyia omwaka 2025.,Education,0.8844,1
"Polio, BCG vaccines to arrive in June after Gov’t releases Ksh.900M",Chanjo za Polio na BCG zitafika Juni baada ya Serikali kutoa Ksh.900M,Echancho ya polio na BCG neikarane omotiènyi ogatano narimo nyuma yesekari korwa chimirioni amagana kianda,Health,0.758,1
24 July 2026 | News Release WHO joins Uganda to celebrate 90 years of the Uganda Virus Research Institute 24 July 2026 | News Release South Sudan receives emergency medical supplies to strengthen cholera response 23 July 2026 | News Release United against polio: Zimbabwe strengthens regional immunity through synchronized vaccination,24 Julai 2026 | Taarifa ya Habari WHO yaungana na Uganda kusherehekea miaka 90 ya Taasisi ya Utafiti wa Virusi vya Uganda 24 Julai 2026 | Taarifa ya Habari Sudan Kusini yapokea vifaa vya matibabu vya dharura ili kuimarisha mwitikio wa kipindupindu 23 Julai 2026 | Taarifa ya Habari Umoja dhidi ya polio: Zimbabwe inaimarisha kinga ya kikanda kupitia chanjo iliyosawazishwa,,Health,0.4576,0
Climate-Smart Agriculture (CSA) is an approach to help the people who manage agricultural systems respond effectively to climate change.,,Oboremi borengete ebimeri biria bikoremereria ogoonchoka kwerire na egurargura  (CSA) nenchera erengete gokonya abanto oboremi nechiro bikoererania erio gokeania omochando bwo'ogoonchoreria kwerire,Agriculture,0.8706,1
CS Tuya urges World Bank to align funding with government priorities,Waziri Tuya ahimiza Benki ya Dunia kuoanisha ufadhili na vipaumbele vya serikali,Omoriki Omonene Tuya osegetire Ebengi Enene ense engima kobeka chiropoa kogendana namagani yorogongo,Governance,0.7429,1
Foster caregivers must be vetted to ensure safe environments for vulnerable children.,Walezi wa watoto wa kulea lazima wachunguzwe ili kuhakikisha mazingira salama kwa watoto walio katika mazingira magumu.,Abaibori abarendi babana barigererigwa buya bataraegwa abana korenda erio korenda nga abana baria abake batanyare kwerenda.,Security,0.8941,1
"Speaker, to expand access to clean and adequate water for domestic and agricultural use, I have proposed an allocation of Ksh 36.6 88 billion for water and sewerage infrastructure development; Ksh 12.5 billion for water resources management; and Ksh 1.9 billion for water storage and flood control.",,,General,0.8961,1
